load_test_level,jmeter_scope,risk_level,verification_status,method,path,group,purpose,auth_required,source,recommendation_reason,query_params,body_params,headers,response_keys
Ready,single_api,low,observed,GET,/ucenter/member/globalConfig/telephoneCountryCodes.xhtml,auth,Returns the list of supported country codes shown in the phone dropdown.,False,"current_playwright_crawl,current_spa_static,legacy_anticket_har,local_wk_endpoints_registry",已有真实抓包样例，且看起来是查询类接口，适合作为单接口压测候选。,{},{},"{""accept"": ""application/json, text/plain, */*"", ""cmpappkey"": ""ShanghaiCS"", ""lang"": ""en""}","errcode,data,success"
Ready,single_api,low,observed,GET,/thvendor/campaign/listCachedCampaign.xhtml,cms,[crawler] Cached campaign list (homepage).,False,"current_playwright_crawl,local_wk_endpoints_registry",已有真实抓包样例，且看起来是查询类接口，适合作为单接口压测候选。,{},{},"{""cmpappkey"": ""ShanghaiCS"", ""lang"": ""en"", ""accept"": ""application/json, text/plain, */*""}","errcode,data,success"
Ready,single_api,low,observed,GET,/thvendor/member/favorites/listFavorites.xhtml,member,[crawler] My wishlist / favorites.,True,"current_playwright_crawl,local_wk_endpoints_registry",已有真实抓包样例，且看起来是查询类接口，适合作为单接口压测候选。,{},{},"{""cmpappkey"": ""ShanghaiCS"", ""lang"": ""en"", ""accept"": ""application/json, text/plain, */*""}","errcode,data,success"
Ready,single_api,low,observed,GET,/thvendor/member/info/getMemberInfo.xhtml,member,[crawler] Logged-in member's core info bundle.,True,"current_playwright_crawl,local_wk_endpoints_registry",已有真实抓包样例，且看起来是查询类接口，适合作为单接口压测候选。,{},{},"{""cmpappkey"": ""ShanghaiCS"", ""lang"": ""en"", ""accept"": ""application/json, text/plain, */*""}","errcode,data,success"
Ready,single_api,low,observed,GET,/thvendor/member/info/getPersonalInfo.xhtml,member,[crawler] Profile page data.,True,"current_playwright_crawl,local_wk_endpoints_registry",已有真实抓包样例，且看起来是查询类接口，适合作为单接口压测候选。,{},{},"{""cmpappkey"": ""ShanghaiCS"", ""lang"": ""en"", ""accept"": ""application/json, text/plain, */*""}","errcode,data,success"
Ready,single_api,low,observed,GET,/thvendor/member/info/getPersonalInfoDynamicField.xhtml,member,[crawler] Dynamic / custom profile fields.,True,"current_playwright_crawl,local_wk_endpoints_registry",已有真实抓包样例，且看起来是查询类接口，适合作为单接口压测候选。,{},{},"{""cmpappkey"": ""ShanghaiCS"", ""lang"": ""en"", ""accept"": ""application/json, text/plain, */*""}","errcode,data,success"
Ready,single_api,low,observed,GET,/thvendor/member/membership/getMemberships.xhtml,member,[crawler] My membership cards list.,True,"current_playwright_crawl,local_wk_endpoints_registry",已有真实抓包样例，且看起来是查询类接口，适合作为单接口压测候选。,"{""pageNo"": ""1"", ""pageSize"": ""60"", ""status"": ""new""}",{},"{""cmpappkey"": ""ShanghaiCS"", ""lang"": ""en"", ""accept"": ""application/json, text/plain, */*""}","errcode,data,success"
Ready,single_api,low,observed,GET,/thvendor/member/record/getMemberRemainPointBeforeTime.xhtml,member,[crawler] Remaining points expiring soon.,True,"current_playwright_crawl,current_spa_static_template,local_wk_endpoints_registry",已有真实抓包样例，且看起来是查询类接口，适合作为单接口压测候选。,{},{},"{""cmpappkey"": ""ShanghaiCS"", ""lang"": ""en"", ""accept"": ""application/json, text/plain, */*""}","msg,errcode,data,success"
Ready,single_api,low,observed,GET,/thvendor/member/subscription/record/eventMsg/getLastSubscriptionRecord.xhtml,member,静态包发现，未在本次抓包中拿到业务说明,True,"current_spa_static_template,legacy_anticket_har",已有真实抓包样例，且看起来是查询类接口，适合作为单接口压测候选。,"{""programId"": ""225518""}",{},"{""accept"": ""application/json, text/plain, */*"", ""cmpappkey"": ""ShanghaiCS"", ""lang"": ""en""}","errcode,data,success"
Ready,single_api,low,observed,GET,/thvendor/member/subscription/record/eventMsg/mine.xhtml,member,My event subscriptions / message inbox.,True,"current_playwright_crawl,local_wk_endpoints_registry",已有真实抓包样例，且看起来是查询类接口，适合作为单接口压测候选。,{},{},"{""cmpappkey"": ""ShanghaiCS"", ""lang"": ""en"", ""accept"": ""application/json, text/plain, */*""}","errcode,data,success"
Ready,single_api,low,observed,HEAD,/thvendor/member/subscription/record/eventMsg/mine.xhtml,member,静态包发现，未在本次抓包中拿到业务说明,True,"current_playwright_crawl,current_spa_static",已有真实抓包样例，且看起来是查询类接口，适合作为单接口压测候选。,{},{},"{""accept"": ""*/*""}",
Ready,single_api,low,observed,GET,/thvendor/member/order/getAllValidTicketList.xhtml,member-order,[crawler] My valid tickets (entry-ready).,True,"current_playwright_crawl,current_spa_static_template,local_wk_endpoints_registry",已有真实抓包样例，且看起来是查询类接口，适合作为单接口压测候选。,"{""showToast"": ""noMsg""}",{},"{""cmpappkey"": ""ShanghaiCS"", ""lang"": ""en"", ""accept"": ""application/json, text/plain, */*""}","errcode,data,success"
Ready,single_api,low,observed,GET,/thvendor/campaignLabel/listCampaignLabel.xhtml,thvendor,[crawler] Campaign labels / categories.,False,"current_playwright_crawl,current_spa_static_template,local_wk_endpoints_registry",已有真实抓包样例，且看起来是查询类接口，适合作为单接口压测候选。,{},{},"{""cmpappkey"": ""ShanghaiCS"", ""lang"": ""en"", ""accept"": ""application/json, text/plain, */*""}","errcode,data,success"
Ready,single_api,low,observed,GET,/thvendor/companyBaseInfo/getDisplayConfig.xhtml,thvendor,[crawler] Per-site display config loaded on every page entry.,False,"current_playwright_crawl,local_wk_endpoints_registry",已有真实抓包样例，且看起来是查询类接口，适合作为单接口压测候选。,{},{},"{""cmpappkey"": ""ShanghaiCS"", ""lang"": ""en"", ""accept"": ""application/json, text/plain, */*""}","errcode,data,success"
Ready,single_api,low,observed,GET,/thvendor/getStadiums.xhtml,thvendor,[crawler] Venue / stadium list.,False,"current_playwright_crawl,current_spa_static_template,legacy_anticket_har,local_wk_endpoints_registry",已有真实抓包样例，且看起来是查询类接口，适合作为单接口压测候选。,{},{},"{""accept"": ""application/json, text/plain, */*"", ""cmpappkey"": ""ShanghaiCS"", ""lang"": ""en""}","errcode,data,success"
Ready,single_api,low,observed,GET,/thvendor/membership/getList.xhtml,thvendor,[crawler] Public membership plans list (anonymous browse).,False,"current_playwright_crawl,current_spa_static_template,local_wk_endpoints_registry",已有真实抓包样例，且看起来是查询类接口，适合作为单接口压测候选。,"{""tag"": ""PA会员""}",{},"{""cmpappkey"": ""ShanghaiCS"", ""lang"": ""en"", ""accept"": ""application/json, text/plain, */*""}","errcode,data,success"
Ready,single_api,low,observed,GET,/thvendor/programcalendar/querySchedulesByDate.xhtml,thvendor,静态包发现，未在本次抓包中拿到业务说明,False,current_playwright_crawl,已有真实抓包样例，且看起来是查询类接口，适合作为单接口压测候选。,"{""dateFrom"": ""2026-06-01"", ""dateTo"": ""2026-06-30""}",{},"{""cmpappkey"": ""ShanghaiCS"", ""lang"": ""en"", ""accept"": ""application/json, text/plain, */*""}","errcode,data,success"
