load_test_level,jmeter_scope,risk_level,verification_status,method,path,group,purpose,auth_required,source,recommendation_reason,query_params,body_params,headers,response_keys
Do Not Load Test,exclude,high,observed,GET,/ucenter/captcha.xhtml,auth,静态包发现，未在本次抓包中拿到业务说明,False,"current_playwright_crawl,current_spa_static",验证码、登录、支付、退款、上传、实名/注销或账号绑定类接口，不建议直接压测。,"{""captchaId"": ""***REDACTED***"", ""r"": ""1782122352227""}",{},"{""accept"": ""image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8""}",
Do Not Load Test,exclude,high,registered,GET,/ucenter/getCaptchaId.xhtml,auth,Issues a captcha session id used by login / register flows.,False,local_wk_endpoints_registry,验证码、登录、支付、退款、上传、实名/注销或账号绑定类接口，不建议直接压测。,{},{},{},
Do Not Load Test,exclude,high,observed,POST,/ucenter/getCaptchaId.xhtml,auth,获取验证码会话 ID,False,"current_playwright_crawl,current_spa_static_template,legacy_anticket_har",验证码、登录、支付、退款、上传、实名/注销或账号绑定类接口，不建议直接压测。,{},{},"{""accept"": ""application/json, text/plain, */*"", ""cmpappkey"": ""ShanghaiCS"", ""content-type"": ""application/x-www-form-urlencoded;charset=UTF-8"", ""lang"": ""en""}","errcode,data,success"
Do Not Load Test,exclude,high,static_only,POST,/ucenter/guest/createAndLogin.xhtml,auth,游客账号创建并登录,False,current_spa_static,验证码、登录、支付、退款、上传、实名/注销或账号绑定类接口，不建议直接压测。,{},"{""_front_end_data_object"": ""静态推断；需按实际游客登录/绑定流程补字段""}",{},
Do Not Load Test,exclude,high,static_only,POST,/ucenter/member/bindEmail.xhtml,auth,静态包发现，未在本次抓包中拿到业务说明,False,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,POST,/ucenter/member/bindMobile.xhtml,auth,静态包发现，未在本次抓包中拿到业务说明,False,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,POST,/ucenter/member/bindWxUserInfo.xhtml,auth,绑定微信用户信息,False,current_spa_static,验证码、登录、支付、退款、上传、实名/注销或账号绑定类接口，不建议直接压测。,{},"{""_front_end_data_object"": ""静态推断；需按微信绑定流程补字段""}",{},
Do Not Load Test,exclude,high,static_only,GET,/ucenter/member/getUpHeadToken.xhtml,auth,获取头像/图片上传 token,False,current_spa_static,验证码、登录、支付、退款、上传、实名/注销或账号绑定类接口，不建议直接压测。,{},{},{},
Do Not Load Test,exclude,high,static_only,GET,/ucenter/openapi/openlogin/getAuthUrl.xhtml,auth,静态包发现，未在本次抓包中拿到业务说明,False,current_spa_static_template,验证码、登录、支付、退款、上传、实名/注销或账号绑定类接口，不建议直接压测。,{},{},{},
Do Not Load Test,exclude,high,static_only,POST,/ucenter/openapi/openlogin/pollResult.xhtml,auth,静态包发现，未在本次抓包中拿到业务说明,False,current_spa_static_template,验证码、登录、支付、退款、上传、实名/注销或账号绑定类接口，不建议直接压测。,{},{},{},
Do Not Load Test,exclude,high,static_only,POST,/ucenter/rest/createAndLoginWithBindEmail.xhtml,auth,创建/保存相关接口,False,current_spa_static_template,验证码、登录、支付、退款、上传、实名/注销或账号绑定类接口，不建议直接压测。,{},{},{},
Do Not Load Test,exclude,high,static_only,POST,/ucenter/rest/createAndLoginWithBindMobile.xhtml,auth,创建/保存相关接口,False,current_spa_static_template,验证码、登录、支付、退款、上传、实名/注销或账号绑定类接口，不建议直接压测。,{},{},{},
Do Not Load Test,exclude,high,registered,GET,/ucenter/rest/logout.xhtml,auth,Logout endpoint.,False,local_wk_endpoints_registry,验证码、登录、支付、退款、上传、实名/注销或账号绑定类接口，不建议直接压测。,{},{},{},
Do Not Load Test,exclude,high,static_only,POST,/ucenter/rest/logout.xhtml,auth,静态包发现，未在本次抓包中拿到业务说明,False,current_spa_static_template,验证码、登录、支付、退款、上传、实名/注销或账号绑定类接口，不建议直接压测。,{},{},{},
Do Not Load Test,exclude,high,observed,POST,/ucenter/rest/pcLoginByPass.xhtml,auth,账号密码登录，带图片验证码,False,"current_playwright_crawl,current_spa_static_template,legacy_anticket_har",验证码、登录、支付、退款、上传、实名/注销或账号绑定类接口，不建议直接压测。,{},"{""mobileOrEmail"": ""***REDACTED***"", ""password"": ""***REDACTED***"", ""captchaId"": ""***REDACTED***"", ""captcha"": ""***REDACTED***""}","{""accept"": ""application/json, text/plain, */*"", ""cmpappkey"": ""ShanghaiCS"", ""content-type"": ""application/x-www-form-urlencoded"", ""lang"": ""en""}","errcode,data,success"
Do Not Load Test,exclude,high,static_only,POST,/ucenter/rest/sendBindMsg.xhtml,auth,静态包发现，未在本次抓包中拿到业务说明,False,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,POST,/ucenter/rest/sendEmailDynamic.xhtml,auth,静态包发现，未在本次抓包中拿到业务说明,False,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,POST,/thvendor/campaign/getCachedCampaign.xhtml,cms,静态包发现，未在本次抓包中拿到业务说明,False,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,POST,/thvendor/campaign/getChargeType.xhtml,cms,静态包发现，未在本次抓包中拿到业务说明,False,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,POST,/thvendor/member/address/getMemberAddressById.xhtml,member,创建/保存相关接口,True,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,POST,/thvendor/member/address/remove.xhtml,member,创建/保存相关接口,True,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,POST,/thvendor/member/address/save.xhtml,member,创建/保存相关接口,True,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,POST,/thvendor/member/campaign/approval/approvalDetail.xhtml,member,详情查询接口,True,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,POST,/thvendor/member/campaign/approval/cancel.xhtml,member,取消/撤销相关接口,True,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,GET,/thvendor/member/campaign/approval/create.xhtml,member,创建/保存相关接口,True,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,POST,/thvendor/member/certification/getVerifyType.xhtml,member,静态包发现，未在本次抓包中拿到业务说明,True,current_spa_static_template,验证码、登录、支付、退款、上传、实名/注销或账号绑定类接口，不建议直接压测。,{},{},{},
Do Not Load Test,exclude,high,registered,GET,/thvendor/member/clearMember/checkCode.xhtml,member,Step 3 of account-deletion — verify the entered code.,True,local_wk_endpoints_registry,验证码、登录、支付、退款、上传、实名/注销或账号绑定类接口，不建议直接压测。,{},{},{},
Do Not Load Test,exclude,high,static_only,POST,/thvendor/member/clearMember/checkCode.xhtml,member,删除/移除相关接口,True,current_spa_static,验证码、登录、支付、退款、上传、实名/注销或账号绑定类接口，不建议直接压测。,{},{},{},
Do Not Load Test,exclude,high,registered,GET,/thvendor/member/clearMember/confirm.xhtml,member,Final step of account-deletion — submit deletion request.,True,"current_spa_static,local_wk_endpoints_registry",验证码、登录、支付、退款、上传、实名/注销或账号绑定类接口，不建议直接压测。,{},{},{},
Do Not Load Test,exclude,high,registered,GET,/thvendor/member/clearMember/reasonList.xhtml,member,List of selectable reasons for leaving (account deletion).,True,"current_spa_static,local_wk_endpoints_registry",验证码、登录、支付、退款、上传、实名/注销或账号绑定类接口，不建议直接压测。,{},{},{},
Do Not Load Test,exclude,high,registered,GET,/thvendor/member/clearMember/sendCode.xhtml,member,Step 2 of account-deletion — send the verification code.,True,local_wk_endpoints_registry,验证码、登录、支付、退款、上传、实名/注销或账号绑定类接口，不建议直接压测。,{},{},{},
Do Not Load Test,exclude,high,static_only,POST,/thvendor/member/clearMember/sendCode.xhtml,member,删除/移除相关接口,True,current_spa_static,验证码、登录、支付、退款、上传、实名/注销或账号绑定类接口，不建议直接压测。,{},{},{},
Do Not Load Test,exclude,high,registered,GET,/thvendor/member/clearMember/validateWay.xhtml,member,Step 1 of account-deletion — which channel (email/SMS) to verify on.,True,local_wk_endpoints_registry,验证码、登录、支付、退款、上传、实名/注销或账号绑定类接口，不建议直接压测。,{},{},{},
Do Not Load Test,exclude,high,static_only,POST,/thvendor/member/clearMember/validateWay.xhtml,member,删除/移除相关接口,True,current_spa_static,验证码、登录、支付、退款、上传、实名/注销或账号绑定类接口，不建议直接压测。,{},{},{},
Do Not Load Test,exclude,high,static_only,GET,/thvendor/member/common/getDynamicCode.xhtml,member,获取电子票动态码,True,"current_spa_static,current_spa_static_template",验证码、登录、支付、退款、上传、实名/注销或账号绑定类接口，不建议直接压测。,"{""uuid"": ""${uuid}"", ""needServiceTime"": ""true""}",{},{},
Do Not Load Test,exclude,high,static_only,POST,/thvendor/member/coupon/orderDetail.xhtml,member,详情查询接口,True,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,POST,/thvendor/member/donation/addDonation.xhtml,member,创建/保存相关接口,True,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,POST,/thvendor/member/donation/cancelDonation.xhtml,member,取消/撤销相关接口,True,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,GET,/thvendor/member/favorites/deleteFavoriteById.xhtml,member,删除/移除相关接口,True,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,GET,/thvendor/member/favorites/saveFavorites.xhtml,member,创建/保存相关接口,True,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,observed,GET,/thvendor/member/getCertificationList.xhtml,member,[crawler] ID certification status (real-name).,True,"current_playwright_crawl,legacy_anticket_har,local_wk_endpoints_registry",验证码、登录、支付、退款、上传、实名/注销或账号绑定类接口，不建议直接压测。,{},{},"{""accept"": ""application/json, text/plain, */*"", ""cmpappkey"": ""ShanghaiCS"", ""lang"": ""en""}","errcode,data,success"
Do Not Load Test,exclude,high,static_only,GET,/thvendor/member/getPaymentGatewayList.xhtml,member,列表/分页查询接口,True,current_spa_static_template,验证码、登录、支付、退款、上传、实名/注销或账号绑定类接口，不建议直接压测。,{},{},{},
Do Not Load Test,exclude,high,static_only,POST,/thvendor/member/getPaymentGatewayList.xhtml,member,列表/分页查询接口,True,current_spa_static_template,验证码、登录、支付、退款、上传、实名/注销或账号绑定类接口，不建议直接压测。,{},{},{},
Do Not Load Test,exclude,high,static_only,POST,/thvendor/member/mall/getFreightByArea.xhtml,member,静态包发现，未在本次抓包中拿到业务说明,True,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,POST,/thvendor/member/memberRemindEvent/list.xhtml,member,列表/分页查询接口,True,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,GET,/thvendor/member/memberRemindEvent/save.xhtml,member,创建/保存相关接口,True,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,POST,/thvendor/member/membership/activeMembership.xhtml,member,会员卡/会员权益相关接口,True,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,GET,/thvendor/member/membership/activeMembershipWithPersionInfo.xhtml,member,详情查询接口,True,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,GET,/thvendor/member/membership/bindPerson/acceptBind.xhtml,member,会员卡/会员权益相关接口,True,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,POST,/thvendor/member/membership/bindPerson/startBind.xhtml,member,会员卡/会员权益相关接口,True,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,POST,/thvendor/member/membership/cancelOrder.xhtml,member,取消未支付订单,True,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,POST,/thvendor/member/membership/getMembershipDetail.xhtml,member,详情查询接口,True,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,POST,/thvendor/member/membership/getMembershipEncode.xhtml,member,会员卡/会员权益相关接口,True,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,POST,/thvendor/member/membership/getOrderDetail.xhtml,member,详情查询接口,True,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,POST,/thvendor/member/membership/getOrderList.xhtml,member,列表/分页查询接口,True,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,POST,/thvendor/member/membership/gotoPay.xhtml,member,会员卡/会员权益相关接口,True,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,GET,/thvendor/member/membership/sendActiveEmail.xhtml,member,会员卡/会员权益相关接口,True,current_spa_static_template,验证码、登录、支付、退款、上传、实名/注销或账号绑定类接口，不建议直接压测。,{},{},{},
Do Not Load Test,exclude,high,static_only,GET,/thvendor/member/membership/sendActiveMobile.xhtml,member,会员卡/会员权益相关接口,True,current_spa_static_template,验证码、登录、支付、退款、上传、实名/注销或账号绑定类接口，不建议直接压测。,{},{},{},
Do Not Load Test,exclude,high,static_only,GET,/thvendor/member/membership/transfer/acceptTransfer.xhtml,member,会员卡/会员权益相关接口,True,current_spa_static_template,验证码、登录、支付、退款、上传、实名/注销或账号绑定类接口，不建议直接压测。,{},{},{},
Do Not Load Test,exclude,high,static_only,GET,/thvendor/member/membership/transfer/listTransferRecords.xhtml,member,列表/分页查询接口,True,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,GET,/thvendor/member/membership/transfer/startTransfer.xhtml,member,会员卡/会员权益相关接口,True,current_spa_static_template,验证码、登录、支付、退款、上传、实名/注销或账号绑定类接口，不建议直接压测。,{},{},{},
Do Not Load Test,exclude,high,static_only,GET,/thvendor/member/membershiporder/refund/applay.xhtml,member,退票/退款相关接口,True,current_spa_static_template,验证码、登录、支付、退款、上传、实名/注销或账号绑定类接口，不建议直接压测。,{},{},{},
Do Not Load Test,exclude,high,static_only,GET,/thvendor/member/partnerMember/identity/bind.xhtml,member,静态包发现，未在本次抓包中拿到业务说明,True,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,POST,/thvendor/member/partnerMember/identity/list.xhtml,member,列表/分页查询接口,True,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,GET,/thvendor/member/partnerMember/identity/unbind.xhtml,member,静态包发现，未在本次抓包中拿到业务说明,True,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,GET,/thvendor/member/removeCertification.xhtml,member,删除/移除相关接口,True,current_spa_static_template,验证码、登录、支付、退款、上传、实名/注销或账号绑定类接口，不建议直接压测。,{},{},{},
Do Not Load Test,exclude,high,observed,POST,/thvendor/member/saveCertification.xhtml,member,创建/保存相关接口,True,"current_spa_static_template,legacy_anticket_har",验证码、登录、支付、退款、上传、实名/注销或账号绑定类接口，不建议直接压测。,{},"{""realname"": ""***REDACTED***"", ""certificateType"": ""***REDACTED***"", ""certificateNo"": ""***REDACTED***"", ""selfFlag"": ""N""}","{""accept"": ""application/json, text/plain, */*"", ""cmpappkey"": ""ShanghaiCS"", ""content-type"": ""application/x-www-form-urlencoded;charset=UTF-8"", ""lang"": ""en""}","errcode,data,success"
Do Not Load Test,exclude,high,static_only,GET,/thvendor/member/subscription/record/v2/save.xhtml,member,创建/保存相关接口,True,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,POST,/thvendor/member/toggleSelf.xhtml,member,静态包发现，未在本次抓包中拿到业务说明,True,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,POST,/thvendor/member/transfer/pageList.xhtml,member,列表/分页查询接口,True,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,POST,/thvendor/member/campaign/order/cancelOrder.xhtml,member-order,取消未支付订单,True,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,GET,/thvendor/member/campaign/order/create.xhtml,member-order,创建非座位类订单,True,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,GET,/thvendor/member/campaign/order/pay.xhtml,member-order,支付/重新支付相关接口,True,current_spa_static_template,验证码、登录、支付、退款、上传、实名/注销或账号绑定类接口，不建议直接压测。,{},{},{},
Do Not Load Test,exclude,high,static_only,POST,/thvendor/member/membership/order/create.xhtml,member-order,创建非座位类订单,True,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,GET,/thvendor/member/membership/order/discount/cancelDiscount.xhtml,member-order,查询座位/票价优惠,True,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,POST,/thvendor/member/membership/order/discount/confirmDiscount.xhtml,member-order,查询座位/票价优惠,True,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,GET,/thvendor/member/membership/order/discount/useDiscount.xhtml,member-order,查询座位/票价优惠,True,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,POST,/thvendor/member/membership/order/discount/usePoint.xhtml,member-order,查询座位/票价优惠,True,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,GET,/thvendor/member/membership/order/renewPayOrder.xhtml,member-order,支付/重新支付相关接口,True,current_spa_static_template,验证码、登录、支付、退款、上传、实名/注销或账号绑定类接口，不建议直接压测。,{},{},{},
Do Not Load Test,exclude,high,static_only,POST,/thvendor/member/order/budgetTicketsRefundPlan.xhtml,member-order,退票/退款相关接口,True,current_spa_static_template,验证码、登录、支付、退款、上传、实名/注销或账号绑定类接口，不建议直接压测。,{},{},{},
Do Not Load Test,exclude,high,static_only,POST,/thvendor/member/order/refundOrderDetails.xhtml,member-order,退票/退款相关接口,True,current_spa_static_template,验证码、登录、支付、退款、上传、实名/注销或账号绑定类接口，不建议直接压测。,{},{},{},
Do Not Load Test,exclude,high,static_only,POST,/thvendor/member/show/combo/order/cancelOrder.xhtml,member-order,取消未支付订单,True,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,POST,/thvendor/member/show/combo/order/create.xhtml,member-order,创建非座位类订单,True,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,POST,/thvendor/member/show/combo/order/orderDetail.xhtml,member-order,详情查询接口,True,current_spa_static_template,仅静态发现且像写操作/副作用接口，先人工确认业务影响。,{},{},{},
Do Not Load Test,exclude,high,static_only,POST,/thvendor/member/show/combo/order/pay.xhtml,member-order,支付/重新支付相关接口,True,current_spa_static_template,验证码、登录、支付、退款、上传、实名/注销或账号绑定类接口，不建议直接压测。,{},{},{},
